"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","Schwartzberg","Redistrict","Gov_Veto","Notes","Geog","AreaDist","AreaConPol","ConvexHull","Upper_Senate","Lower_House","Governor","Overall"
"83","district",4709,"Tennessee",9,0.129330651,0.045945631,0.005432818,0.277467067043689,"State Legislature","Yes",NA,"district",512.2449082,738.3655074,0.693755197,"Republican","Republican","Republican","Republican"
"84","district",4600,"South Dakota",0,22.58619975,0.347555737,0.058604895,0.484732403685284,NA,NA,NA,"district",77111.60542,82341.71231,0.936482899,"Republican","Republican","Republican","Republican"
"85","district",4504,"South Carolina",4,0.336074271,0.06217641,0.008680391,0.330519374282896,"State Legislature","Yes",NA,"district",1336.338852,1635.905643,0.816880153,"Republican","Republican","Republican","Republican"
"86","district",4503,"South Carolina",3,1.388952471,0.126988842,0.016210268,0.328990275853351,"State Legislature","Yes",NA,"district",5469.515747,6351.685573,0.861112485,"Republican","Republican","Republican","Republican"
"87","district",4507,"South Carolina",7,1.445660176,0.136146447,0.01974097,0.313062989942863,"State Legislature","Yes",NA,"district",5448.867595,6880.288078,0.791953409,"Republican","Republican","Republican","Republican"
"88","district",4505,"South Carolina",5,1.429126867,0.152330795,0.018462461,0.278197110780134,"State Legislature","Yes",NA,"district",5613.837049,7388.761062,0.759780564,"Republican","Republican","Republican","Republican"
"89","district",4501,"South Carolina",1,0.59736236,0.151279367,0.015951641,0.181110721392261,"State Legislature","Yes",NA,"district",1779.02292,3551.815495,0.500877065,"Republican","Republican","Republican","Republican"
"90","district",4506,"South Carolina",6,2.101275409,0.286667853,0.021424697,0.179253410449201,"State Legislature","Yes",NA,"district",8400.840993,12446.33101,0.674965256,"Republican","Republican","Republican","Republican"
"91","district",4502,"South Carolina",2,0.785409435,0.126665524,0.013748562,0.248024489814136,"State Legislature","Yes",NA,"district",3086.600559,4240.232573,0.727931901,"Republican","Republican","Republican","Republican"
"92","district",4401,"Rhode Island",1,0.14586396,0.043645327,0.007474307,0.310199562015072,"State Legislature","Yes",NA,"district",383.8895491,624.2419828,0.61496913,"Democrat","Democrat","Democrat","Democrat"
"93","district",4402,"Rhode Island",2,0.293582122,0.056850541,0.008330743,0.337858720293788,"State Legislature","Yes",NA,"district",853.1351744,1168.117716,0.730350343,"Democrat","Democrat","Democrat","Democrat"
"94","district",4206,"Pennsylvania",6,0.239037654,0.093898102,0.009041649,0.184578570052203,"State Legislature","Yes",NA,"district",876.3425661,1621.953344,0.540300724,"Republican","Republican","Democrat","Republican"
"95","district",4216,"Pennsylvania",16,0.288328547,0.080957778,0.008048206,0.235120325267995,"State Legislature","Yes",NA,"district",1057.057876,1672.787098,0.631914173,"Republican","Republican","Democrat","Republican"
"96","district",4215,"Pennsylvania",15,0.357706638,0.091479678,0.012811119,0.231762840242442,"State Legislature","Yes",NA,"district",1291.686513,2145.479406,0.602050297,"Republican","Republican","Democrat","Republican"
"97","district",4209,"Pennsylvania",9,1.580862469,0.193084589,0.01994241,0.230836438175449,"State Legislature","Yes",NA,"district",5789.651955,8685.836347,0.666562404,"Republican","Republican","Democrat","Republican"
"98","district",4201,"Pennsylvania",1,0.022868502,0.026871338,0.004035993,0.199496140821189,"State Legislature","Yes",NA,"district",68.55546348,119.1891056,0.575182297,"Republican","Republican","Democrat","Republican"
"99","district",4207,"Pennsylvania",7,0.239346688,0.126705791,0.008224396,0.136874384317992,"State Legislature","Yes",NA,"district",890.7664596,1851.558515,0.481090094,"Republican","Republican","Democrat","Republican"
"100","district",4217,"Pennsylvania",17,0.481783714,0.145877659,0.012835869,0.168671693105354,"State Legislature","Yes",NA,"district",1744.025681,3733.275714,0.467156946,"Republican","Republican","Democrat","Republican"
"101","district",4218,"Pennsylvania",18,0.573721273,0.104161998,0.012700888,0.257778152581697,"State Legislature","Yes",NA,"district",2074.996831,3104.670079,0.668346967,"Republican","Republican","Democrat","Republican"
"102","district",4214,"Pennsylvania",14,0.062115796,0.038097597,0.004327375,0.231904072824177,"State Legislature","Yes",NA,"district",208.4344148,350.4456989,0.594769505,"Republican","Republican","Democrat","Republican"
"103","district",4212,"Pennsylvania",12,0.601379799,0.140516268,0.016076927,0.195637787669888,"State Legislature","Yes",NA,"district",2195.692956,4993.696424,0.439692919,"Republican","Republican","Democrat","Republican"
"104","district",4210,"Pennsylvania",10,2.368744174,0.235095713,0.02519523,0.232070160068099,"State Legislature","Yes",NA,"district",8490.824284,14263.94597,0.595264754,"Republican","Republican","Democrat","Republican"
"105","district",4211,"Pennsylvania",11,0.952133177,0.159983987,0.021265803,0.216210741125261,"State Legislature","Yes",NA,"district",3444.499959,6035.288538,0.570726642,"Republican","Republican","Democrat","Republican"
"106","district",4203,"Pennsylvania",3,1.309839815,0.135259612,0.019513194,0.299947943347006,"State Legislature","Yes",NA,"district",3902.723765,5694.581773,0.685339841,"Republican","Republican","Democrat","Republican"
"107","district",4205,"Pennsylvania",5,2.998864118,0.191307151,0.024428799,0.320886999108745,"State Legislature","Yes",NA,"district",10809.32544,14670.92182,0.736785703,"Republican","Republican","Democrat","Republican"
"108","district",4204,"Pennsylvania",4,0.421522121,0.060914674,0.009569975,0.377827176761953,"State Legislature","Yes",NA,"district",1518.31713,1768.583286,0.858493429,"Republican","Republican","Democrat","Republican"
"109","district",4208,"Pennsylvania",8,0.198708742,0.048022383,0.006750296,0.329055922503003,"State Legislature","Yes",NA,"district",721.4705278,924.9529492,0.780007814,"Republican","Republican","Democrat","Republican"
"110","district",4202,"Pennsylvania",2,0.020087198,0.012113977,0.001903179,0.414741856602478,"State Legislature","Yes",NA,"district",66.70613502,77.60245524,0.859587945,"Republican","Republican","Democrat","Republican"
"111","district",4213,"Pennsylvania",13,0.042492149,0.037029508,0.003648862,0.197338279785825,"State Legislature","Yes",NA,"district",160.827625,236.2972109,0.680615841,"Republican","Republican","Democrat","Republican"
"112","district",4101,"Oregon",1,0.978246534,0.105101022,0.013585014,0.333597011820926,"State Legislature","Yes",NA,"district",3088.119227,4290.34111,0.719784079,"Democrat","Democrat","Democrat","Democrat"
"113","district",4103,"Oregon",3,0.334220068,0.065987222,0.008605524,0.310571320256301,"State Legislature","Yes",NA,"district",1116.402858,1565.43991,0.713155996,"Democrat","Democrat","Democrat","Democrat"
"114","district",4105,"Oregon",5,1.66970969,0.184076016,0.019146551,0.248844593524772,"State Legislature","Yes",NA,"district",5265.619433,8636.896897,0.609665658,"Democrat","Democrat","Democrat","Democrat"
"115","district",4102,"Oregon",2,20.38757869,0.368903621,0.056965424,0.433885202640704,"State Legislature","Yes",NA,"district",70163.86282,80651.29141,0.86996577,"Democrat","Democrat","Democrat","Democrat"
"116","district",4104,"Oregon",4,5.233951169,0.20782463,0.029267843,0.390231882766956,"State Legislature","Yes",NA,"district",17422.59522,20135.54926,0.865265456,"Democrat","Democrat","Democrat","Democrat"
"117","district",4005,"Oklahoma",5,0.538491419,0.082865093,0.012307623,0.313922687305748,"State Legislature","Yes",NA,"district",2085.643726,3103.108833,0.672114269,"Republican","Republican","Republican","Republican"
"118","district",4004,"Oklahoma",4,2.530523375,0.189097705,0.021845364,0.298211131549248,"State Legislature","Yes",NA,"district",9928.271501,13013.40411,0.76292655,"Republican","Republican","Republican","Republican"
"119","district",4001,"Oklahoma",1,0.436973811,0.082206887,0.014206449,0.285052224140855,"State Legislature","Yes",NA,"district",1673.051133,3399.009329,0.492217282,"Republican","Republican","Republican","Republican"
"120","district",4002,"Oklahoma",2,5.57651515,0.266725303,0.034267392,0.313850018116113,"State Legislature","Yes",NA,"district",21746.68448,26928.74583,0.807563955,"Republican","Republican","Republican","Republican"
"121","district",4003,"Oklahoma",3,8.907127066,0.321095202,0.060424025,0.329488256177909,"State Legislature","Yes",NA,"district",34431.20018,49282.95393,0.698643191,"Republican","Republican","Republican","Republican"
"122","district",3901,"Ohio",1,0.191137413,0.058297502,0.007631293,0.265844596787782,"State Legislature","Yes",NA,"district",692.4072837,1118.214774,0.619207776,"Republican","Republican","Republican","Republican"
"123","district",3903,"Ohio",3,0.064124516,0.043756541,0.003151189,0.205151170329495,"State Legislature","Yes",NA,"district",241.1707775,348.6731568,0.691681516,"Republican","Republican","Republican","Republican"
"124","district",3912,"Ohio",12,0.635064485,0.106059701,0.014777064,0.26635659025163,"State Legislature","Yes",NA,"district",2286.387517,3684.191865,0.620594041,"Republican","Republican","Republican","Republican"
"125","district",3914,"Ohio",14,0.94796122,0.0838331,0.012627781,0.411703625754505,"State Legislature","Yes",NA,"district",2005.562586,2405.635624,0.833693418,"Republican","Republican","Republican","Republican"
"126","district",3911,"Ohio",11,0.202880698,0.060121189,0.011248532,0.265581449129566,"State Legislature","Yes",NA,"district",237.5044334,506.0153712,0.469362092,"Republican","Republican","Republican","Republican"
"127","district",3905,"Ohio",5,1.553512976,0.119859048,0.015666132,0.368630742193965,"State Legislature","Yes",NA,"district",5661.214183,7351.117462,0.770116137,"Republican","Republican","Republican","Republican"
"128","district",3904,"Ohio",4,1.313239187,0.158958134,0.022831438,0.255560714004374,"State Legislature","Yes",NA,"district",4704.445959,8656.208437,0.543476511,"Republican","Republican","Republican","Republican"
"129","district",3907,"Ohio",7,1.062921799,0.147265285,0.013575028,0.248173386359101,"State Legislature","Yes",NA,"district",3914.219276,6383.093948,0.613216617,"Republican","Republican","Republican","Republican"
"130","district",3916,"Ohio",16,0.345345286,0.086845162,0.00929523,0.239875596931124,"State Legislature","Yes",NA,"district",1228.150354,2134.937451,0.575262921,"Republican","Republican","Republican","Republican"
"131","district",3913,"Ohio",13,0.253407726,0.082573435,0.00927511,0.216109822445956,"State Legislature","Yes",NA,"district",918.1275066,1535.494952,0.597935868,"Republican","Republican","Republican","Republican"
"132","district",3908,"Ohio",8,0.664577214,0.087987441,0.012248669,0.328440699502115,"State Legislature","Yes",NA,"district",2467.278885,3982.763413,0.619489191,"Republican","Republican","Republican","Republican"
