"","geography","geography_id","state_name","district_name","area","perimeter","max_distance_from_center","id","Schwartzberg"
"89","district",4501,"South Carolina",1,0.59736236,0.151279367,0.015951641,100,18.1110721392261
"90","district",4506,"South Carolina",6,2.101275409,0.286667853,0.021424697,101,17.9253410449201
"91","district",4502,"South Carolina",2,0.785409435,0.126665524,0.013748562,102,24.8024489814136
"92","district",4401,"Rhode Island",1,0.14586396,0.043645327,0.007474307,104,31.0199562015072
"93","district",4402,"Rhode Island",2,0.293582122,0.056850541,0.008330743,105,33.7858720293788
"94","district",4206,"Pennsylvania",6,0.239037654,0.093898102,0.009041649,107,18.4578570052203
"95","district",4216,"Pennsylvania",16,0.288328547,0.080957778,0.008048206,108,23.5120325267995
"96","district",4215,"Pennsylvania",15,0.357706638,0.091479678,0.012811119,109,23.1762840242442
"97","district",4209,"Pennsylvania",9,1.580862469,0.193084589,0.01994241,110,23.0836438175449
"98","district",4201,"Pennsylvania",1,0.022868502,0.026871338,0.004035993,111,19.9496140821189
"99","district",4207,"Pennsylvania",7,0.239346688,0.126705791,0.008224396,112,13.6874384317992
"100","district",4217,"Pennsylvania",17,0.481783714,0.145877659,0.012835869,113,16.8671693105354
"101","district",4218,"Pennsylvania",18,0.573721273,0.104161998,0.012700888,114,25.7778152581697
"102","district",4214,"Pennsylvania",14,0.062115796,0.038097597,0.004327375,115,23.1904072824177
"103","district",4212,"Pennsylvania",12,0.601379799,0.140516268,0.016076927,116,19.5637787669888
"104","district",4210,"Pennsylvania",10,2.368744174,0.235095713,0.02519523,117,23.2070160068099
"105","district",4211,"Pennsylvania",11,0.952133177,0.159983987,0.021265803,118,21.6210741125261
"106","district",4203,"Pennsylvania",3,1.309839815,0.135259612,0.019513194,119,29.9947943347007
"107","district",4205,"Pennsylvania",5,2.998864118,0.191307151,0.024428799,120,32.0886999108745
"108","district",4204,"Pennsylvania",4,0.421522121,0.060914674,0.009569975,121,37.7827176761953
"109","district",4208,"Pennsylvania",8,0.198708742,0.048022383,0.006750296,122,32.9055922503003
