geography,geography_id,state_name,district_name,area,perimeter,max_distance_from_center,id
district,4202.0,Pennsylvania,2.0,0.020087198,0.012113977,0.001903179,123
district,4213.0,Pennsylvania,13.0,0.042492149,0.037029508,0.003648862,124
state,41.0,Oregon,,28.16748675,0.345977828,0.058829003,125
district,4101.0,Oregon,1.0,0.978246534,0.105101022,0.013585014,126
district,4103.0,Oregon,3.0,0.334220068,0.065987222,0.008605524,127
district,4105.0,Oregon,5.0,1.66970969,0.184076016,0.019146551,128
district,4102.0,Oregon,2.0,20.38757869,0.368903621,0.056965424,129
district,4104.0,Oregon,4.0,5.233951169,0.20782463,0.029267843,130
state,40.0,Oklahoma,,17.98930693,0.369143214,0.081102012,131
district,4005.0,Oklahoma,5.0,0.538491419,0.082865093,0.012307623,132
district,4004.0,Oklahoma,4.0,2.530523375,0.189097705,0.021845364,133
district,4001.0,Oklahoma,1.0,0.436973811,0.082206887,0.014206449,134
district,4002.0,Oklahoma,2.0,5.57651515,0.266725303,0.034267392,135
district,4003.0,Oklahoma,3.0,8.907127066,0.321095202,0.060424025,136
state,39.0,Ohio,,11.33651747,0.240942189,0.041901819,137
district,3901.0,Ohio,1.0,0.191137413,0.058297502,0.007631293,138
district,3903.0,Ohio,3.0,0.064124516,0.043756541,0.003151189,139
district,3912.0,Ohio,12.0,0.635064485,0.106059701,0.014777064,140
district,3914.0,Ohio,14.0,0.94796122,0.0838331,0.012627781,141
district,3911.0,Ohio,11.0,0.202880698,0.060121189,0.011248532,142
district,3905.0,Ohio,5.0,1.553512976,0.119859048,0.015666132,143
district,3904.0,Ohio,4.0,1.313239187,0.158958134,0.022831438,144
district,3907.0,Ohio,7.0,1.062921799,0.147265285,0.013575028,145
district,3916.0,Ohio,16.0,0.345345286,0.086845162,0.00929523,146
district,3913.0,Ohio,13.0,0.253407726,0.082573435,0.00927511,147
district,3908.0,Ohio,8.0,0.664577214,0.087987441,0.012248669,148
district,3902.0,Ohio,2.0,0.876728927,0.108531651,0.014449437,149
district,3906.0,Ohio,6.0,1.988941618,0.21632649,0.027658932,150
district,3909.0,Ohio,9.0,0.601379799,0.085941684,0.014749604,151
district,3915.0,Ohio,15.0,1.291297786,0.156639244,0.017837101,152
district,3910.0,Ohio,10.0,0.308879296,0.049097004,0.009885303,153
