"","district","compactness"
"328","PA-4",0.4279
"329","PA-5",0.2968
"330","PA-6",0.1479
"331","PA-7",0.0839
"332","PA-8",0.4489
"333","PA-9",0.1747
"334","PA-10",0.1716
"335","PA-11",0.1657
"336","PA-12",0.148
"337","PA-13",0.2089
"338","PA-14",0.2615
"339","PA-15",0.1998
"340","PA-16",0.1847
"341","PA-17",0.1097
"342","PA-18",0.2923
"343","RI-1",0.3411
"344","RI-2",0.4695
"345","SC-1",0.1041
"346","SC-2",0.2633
"347","SC-3",0.5164
"348","SC-4",0.4693
"349","SC-5",0.3127
"350","SC-6",0.1526
"351","SC-7",0.3912
"352","SD-0",0.5515
"353","TN-1",0.2945
"354","TN-2",0.1931
"355","TN-3",0.1897
"356","TN-4",0.2271
"357","TN-5",0.4389
"358","TN-6",0.3326
"359","TN-7",0.2846
"360","TN-8",0.3764
"361","TN-9",0.2676
"362","TX-1",0.3843
"363","TX-2",0.1491
"364","TX-3",0.6247
"365","TX-4",0.3293
"366","TX-5",0.2814
"367","TX-6",0.394
"368","TX-7",0.273
"369","TX-8",0.4676
"370","TX-9",0.2605
"371","TX-10",0.2705
"372","TX-11",0.2165
"373","TX-12",0.3731
"374","TX-13",0.3037
"375","TX-14",0.2283
"376","TX-15",0.1556
"377","TX-16",0.6771
"378","TX-17",0.3298
"379","TX-18",0.2174
"380","TX-19",0.2926
"381","TX-20",0.3779
"382","TX-21",0.2876
"383","TX-22",0.2644
"384","TX-23",0.2867
"385","TX-24",0.4621
"386","TX-25",0.2165
"387","TX-26",0.6817
"388","TX-27",0.2592
"389","TX-28",0.1852
"390","TX-29",0.2445
"391","TX-30",0.4117
"392","TX-31",0.5354
"393","TX-32",0.2978
"394","TX-33",0.1644
"395","TX-34",0.1662
"396","TX-35",0.1204
"397","TX-36",0.3977
"398","UT-1",0.3051
"399","UT-2",0.4467
"400","UT-3",0.2571
"401","UT-4",0.3315
"402","VA-1",0.3209
"403","VA-2",0.1362
"404","VA-3",0.3766
"405","VA-4",0.2928
"406","VA-5",0.2173
"407","VA-6",0.2471
"408","VA-7",0.2967
"409","VA-8",0.5582
"410","VA-9",0.2135
"411","VA-10",0.1881
"412","VA-11",0.1651
"413","VT-0",0.5133
"414","WA-1",0.3673
"415","WA-2",0.2683
"416","WA-3",0.2816
"417","WA-4",0.267
"418","WA-5",0.4527
"419","WA-6",0.5079
"420","WA-7",0.4935
"421","WA-8",0.2765
"422","WA-9",0.399
"423","WA-10",0.3523
"424","WI-1",0.4838
"425","WI-2",0.4924
"426","WI-3",0.2024
"427","WI-4",0.2853
"428","WI-5",0.4282
"429","WI-6",0.2549
"430","WI-7",0.2879
"431","WI-8",0.2246
"432","WV-1",0.1861
"433","WV-2",0.1403
"434","WV-3",0.279
"435","WY-0",0.7275
